id_ficha_cliente,id_cliente,dni_cliente,domicilio_cliente,id_tipo_fiscal,contacto_cliente
1,1,30-26299205-6,25 Dunning Crossing,3,221-361221
2,2,30-88100694-8,0728 Vera Junction,4,221-104095
3,3,27-16630763-3,8 Brown Lane,3,221-597707
4,4,20-37080043-9,5 Mallory Terrace,2,221-850020
5,5,20-46461059-4,57536 Vernon Lane,4,221-239048
6,6,20-30504671-3,98 Pleasure Avenue,2,221-509292
7,7,30-19749874-8,05 3rd Trail,3,221-592096
8,8,20-43805659-7,47885 Kedzie Circle,2,221-269484
9,9,30-25676595-9,9 Melby Point,2,221-961099
10,10,30-59358294-2,6 Waxwing Road,1,221-224971
11,11,30-6751015-1,8292 Manitowish Crossing,3,221-514918
12,12,30-37126621-9,462 Grim Circle,2,221-001898
13,13,27-21202707-1,6205 Hauk Junction,2,221-984115
14,14,27-19619536-9,845 Carpenter Circle,2,221-087640
15,15,30-39262813-3,6051 Sachs Center,4,221-830319
16,16,20-17305797-1,8 Northview Lane,3,221-992129
17,17,27-34022902-5,1 Reinke Drive,2,221-226835
18,18,30-73103092-4,5 Pepper Wood Street,2,221-096675
19,19,20-18544873-1,0 Dawn Center,1,221-443708
20,20,20-7569886-2,237 Kennedy Terrace,2,221-305259
21,21,30-25186835-8,394 Park Meadow Circle,3,221-826569
22,22,20-18685073-9,8869 Vernon Street,1,221-917516
23,23,27-18343637-3,010 Schurz Junction,4,221-096751
24,24,27-57378611-1,2 Bartelt Center,3,221-464548
25,25,20-70530990-1,7 Blackbird Lane,4,221-053829
26,26,27-54464798-5,94 Hooker Alley,4,221-196928
27,27,27-51032466-0,74 Butternut Park,2,221-367560
28,28,30-57469603-1,9 Nelson Plaza,4,221-886425
29,29,30-57126122-0,08 Pawling Road,1,221-445121
30,30,20-25493637-4,5 Gale Crossing,4,221-235209
31,31,30-93332610-9,7427 Summit Plaza,3,221-549790
32,32,30-70650745-1,561 Towne Alley,4,221-414831
33,33,20-82904764-5,48549 Paget Place,4,221-248020
34,34,30-43221688-5,32 Myrtle Alley,4,221-854604
35,35,30-60225661-9,6 Pearson Street,4,221-052727
36,36,20-27595022-5,4 Summerview Court,2,221-128082
37,37,27-7539566-4,298 Cordelia Junction,4,221-193436
38,38,20-36024319-4,87 Bobwhite Court,2,221-904013
39,39,27-5344923-4,94533 Sloan Hill,4,221-476065
40,40,30-2145390-2,85449 Lerdahl Drive,3,221-015615
41,41,30-49237898-9,8780 Donald Alley,4,221-732298
42,42,20-16095304-6,888 Center Street,1,221-409968
43,43,30-38578082-9,33 Weeping Birch Place,3,221-094454
44,44,27-33543817-5,34746 Brown Alley,1,221-319592
45,45,27-9752659-7,01171 Center Circle,2,221-799674
46,46,27-34709832-2,1580 Waywood Place,3,221-575555
47,47,30-68577400-8,3 Hoffman Alley,3,221-523819
48,48,30-13110155-0,460 Del Mar Road,3,221-235587
49,49,27-14808356-1,74390 Pond Hill,2,221-575542
50,50,27-29630445-1,78 Heffernan Road,3,221-967964
51,51,20-26894316-7,03 Farragut Pass,2,221-150773
52,52,30-6004376-0,1433 Golden Leaf Junction,4,221-826463
53,53,30-62381957-0,0 Granby Way,4,221-323646
54,54,30-18989421-0,27 Becker Circle,1,221-913281
55,55,27-38281236-5,8 Anthes Avenue,4,221-922560
56,56,30-48174152-5,40093 American Parkway,4,221-688998
57,57,30-65502363-6,7077 Miller Court,4,221-533139
58,58,27-59921109-4,15 Russell Center,3,221-206864
59,59,20-72547543-6,6504 Bultman Crossing,1,221-958038
60,60,20-37736054-8,5 Clyde Gallagher Avenue,3,221-773024
61,61,20-74911456-0,93993 Meadow Vale Circle,2,221-899014
62,62,20-34823606-5,1 Aberg Drive,1,221-906318
63,63,27-36736796-7,8 2nd Terrace,3,221-729464
64,64,20-47749107-6,896 Knutson Parkway,3,221-643608
65,65,27-73602924-3,54061 Tomscot Hill,1,221-227996
66,66,30-4407448-7,22 Crownhardt Road,2,221-014322
67,67,30-69260634-9,837 Beilfuss Court,3,221-043961
68,68,30-46751005-6,70 Oakridge Circle,3,221-488325
69,69,20-12946220-8,423 Ronald Regan Center,3,221-843407
70,70,27-422602-6,5477 Birchwood Parkway,3,221-608419
71,71,20-43856874-5,126 Lyons Terrace,1,221-681895
72,72,30-11176337-3,7 Meadow Ridge Street,1,221-295587
73,73,30-66629602-9,3 1st Drive,4,221-121077
74,74,30-92837777-7,0 Di Loreto Circle,2,221-258752
75,75,20-48662690-1,4 Muir Trail,2,221-227644
76,76,27-35773959-7,7373 Moose Hill,3,221-560355
77,77,30-97037994-4,0366 Basil Road,1,221-940528
78,78,30-23213554-9,5203 Katie Junction,1,221-535475
79,79,20-44430119-5,54 Welch Center,4,221-221325
80,80,30-89411973-8,2064 Havey Parkway,1,221-230078
81,81,30-14708764-0,0824 High Crossing Terrace,1,221-270902
82,82,30-80824734-7,4056 Loeprich Alley,3,221-613340
83,83,27-36742054-3,87238 1st Drive,3,221-439959
84,84,30-40510797-4,43131 Lukken Alley,4,221-258810
85,85,30-73819679-4,2 Gale Junction,2,221-453081
86,86,30-39803624-8,01 Marcy Avenue,3,221-712884
87,87,27-23492847-5,52854 Cascade Lane,3,221-595034
88,88,20-33692083-8,122 Petterle Drive,4,221-323547
89,89,30-18771964-1,7 Anzinger Junction,2,221-172992
90,90,20-53168889-5,1483 Starling Junction,4,221-318692
91,91,30-92925667-8,6 Toban Pass,4,221-448910
92,92,30-40898806-2,34410 Lakewood Terrace,3,221-918778
93,93,30-14510764-8,3113 Clemons Terrace,3,221-070040
94,94,30-92843347-5,1326 Dahle Crossing,4,221-912977
95,95,30-64300273-9,7449 Burning Wood Pass,1,221-795080
96,96,27-39107839-2,565 Stuart Way,3,221-535329
97,97,30-14808738-7,268 Stoughton Crossing,1,221-414818
98,98,30-19748584-6,910 Hoepker Center,1,221-189502
