id_cliente,id_tipo_soporte,contacto_cliente,fecha_soporte,id_calificación
52,6,232-70-0341,2023-01-23,4
58,4,491-04-4293,2023-03-24,5
39,1,817-48-1848,2023-01-23,4
10,2,339-67-0681,2023-05-04,2
39,2,536-86-7705,2023-02-12,1
46,4,480-01-5665,2023-01-12,2
87,3,581-07-5297,2023-03-27,4
41,2,346-35-5526,2023-03-28,1
80,4,122-15-3090,2023-03-09,2
27,1,360-26-6888,2023-04-03,1
50,3,672-61-5550,2023-05-18,5
38,5,443-91-9684,2023-01-11,2
14,5,810-54-6687,2023-02-01,1
8,3,853-68-2363,2023-01-24,4
98,4,163-15-7848,2023-04-30,3
10,3,710-86-2904,2023-03-30,5
79,5,238-45-3835,2023-02-10,3
37,2,442-76-4232,2023-02-09,3
70,4,414-41-1782,2023-03-12,3
7,6,279-46-6911,2023-02-20,2
59,5,134-58-5348,2023-04-18,1
65,2,664-73-2102,2023-02-27,2
83,5,216-98-7064,2023-04-03,5
68,6,274-83-9098,2023-01-30,3
61,2,306-74-7114,2023-01-20,2
38,1,282-17-8925,2023-04-01,1
91,3,744-79-2105,2023-02-01,4
68,5,668-99-6914,2023-01-21,3
88,3,290-11-4860,2023-04-01,1
15,2,548-88-6470,2023-03-22,1
66,3,436-70-6193,2023-03-28,3
34,4,175-42-8739,2023-01-10,1
11,4,765-66-8862,2023-01-04,1
91,2,867-74-4823,2023-03-11,4
37,6,161-94-8680,2023-03-30,4
67,3,506-18-5573,2023-03-29,4
7,6,301-04-9074,2023-04-22,2
66,3,862-46-2417,2023-03-10,5
18,4,829-98-1798,2023-05-14,3
44,3,278-62-2658,2023-02-23,2
31,1,230-69-9326,2023-05-19,3
97,1,465-54-7565,2023-04-28,1
50,1,358-64-0355,2023-02-04,2
15,4,412-60-8533,2023-03-09,4
30,1,332-30-8225,2023-02-16,4
41,2,516-19-5483,2023-05-18,4
67,3,142-48-1773,2023-03-16,3
35,4,561-34-9359,2023-04-17,1
57,1,688-96-4603,2023-03-26,3
16,1,569-71-9490,2023-03-20,1
12,4,207-53-3889,2023-04-19,3
86,4,679-67-4623,2023-03-25,2
47,6,610-30-0310,2023-03-02,4
26,2,410-18-1806,2023-03-24,2
6,1,687-33-6664,2023-04-07,2
91,4,524-09-3085,2023-05-10,2
96,5,824-81-9382,2023-02-25,4
2,4,116-12-2468,2023-02-28,2
87,3,592-11-9257,2023-01-04,3
77,5,724-26-7225,2023-04-18,1
23,1,345-10-6939,2023-02-15,4
18,1,803-18-9558,2023-03-09,1
21,5,389-80-1969,2023-01-31,4
20,3,369-41-3104,2023-03-13,4
42,2,486-43-4532,2023-04-22,5
34,4,843-57-7675,2023-03-21,4
61,4,654-02-5747,2023-05-17,3
30,4,616-98-1358,2023-02-08,1
94,2,796-18-0008,2023-02-24,5
80,1,453-83-4542,2023-02-15,4
42,3,415-27-8176,2023-03-21,5
7,3,744-86-8660,2023-01-14,2
32,3,139-12-9525,2023-04-19,4
25,6,437-08-1020,2023-01-11,4
5,2,511-04-6277,2023-03-05,1
79,6,376-47-6729,2023-03-28,2
22,4,633-39-8455,2023-04-24,2
30,2,610-65-3737,2023-04-17,3
25,6,118-13-4039,2023-03-17,5
21,4,713-21-8012,2023-01-04,1
23,1,669-74-1484,2023-02-16,4
10,2,700-92-1845,2023-03-14,3
58,2,375-93-9046,2023-02-17,1
65,2,182-90-5947,2023-04-19,3
95,5,122-30-0152,2023-05-18,4
45,6,622-02-3791,2023-02-06,3
39,6,565-27-8744,2023-04-15,5
8,5,591-79-0892,2023-01-19,5
78,5,166-91-2344,2023-03-03,4
84,1,820-52-3525,2023-04-17,1
19,1,753-86-3292,2023-03-15,5
97,1,389-18-1617,2023-02-11,5
66,2,652-24-3266,2023-04-04,4
67,2,718-69-6514,2023-03-22,3
24,3,384-76-1029,2023-02-20,1
76,2,385-36-5741,2023-02-25,4
69,3,122-59-9381,2023-02-26,4
84,3,419-41-2388,2023-04-03,5
97,3,130-64-7160,2023-05-10,5
15,3,674-47-3977,2023-05-19,5
39,4,167-19-0825,2023-03-21,2
17,6,268-01-6050,2023-04-24,5
41,4,184-68-2538,2023-03-26,4
12,4,613-22-8347,2023-02-14,4
33,3,148-99-3897,2023-01-18,5
21,3,774-77-6224,2023-03-15,2
85,2,142-78-2802,2023-04-24,5
81,3,133-04-2445,2023-01-25,2
34,2,153-38-1811,2023-04-26,2
83,6,124-15-0309,2023-01-23,3
22,3,277-64-7736,2023-01-09,4
68,1,683-08-6805,2023-03-24,5
75,5,304-11-3914,2023-04-02,3
13,4,761-55-7642,2023-04-09,2
94,3,558-51-6900,2023-04-10,1
2,6,524-99-4863,2023-03-15,2
81,5,201-30-9454,2023-05-14,3
44,1,869-28-7513,2023-03-02,4
67,6,281-61-8639,2023-02-08,5
24,5,869-89-6620,2023-02-04,1
92,4,165-51-2342,2023-02-10,3
79,3,200-19-7888,2023-01-14,2
93,5,546-29-5700,2023-01-17,5
96,2,822-53-0507,2023-03-03,1
85,5,674-98-7090,2023-04-06,5
78,1,672-47-2910,2023-04-26,3
73,2,529-28-7384,2023-05-02,3
94,4,387-72-9315,2023-04-29,4
87,2,657-77-8053,2023-04-05,5
25,3,135-65-2828,2023-05-09,2
2,3,827-90-7058,2023-05-07,2
39,5,844-72-0770,2023-02-22,1
59,2,334-71-0687,2023-03-16,2
93,4,399-12-1230,2023-03-02,4
90,5,550-99-8867,2023-05-21,5
65,2,387-77-7152,2023-04-05,5
10,5,571-86-3546,2023-01-19,5
42,1,580-62-2568,2023-03-17,2
31,4,490-03-0922,2023-03-01,4
3,5,764-07-1126,2023-02-16,3
46,4,650-05-7915,2023-05-02,4
45,1,138-58-0037,2023-05-15,1
54,2,402-36-5370,2023-03-16,3
61,5,179-32-9086,2023-02-14,3
13,3,231-40-7037,2023-04-05,4
64,3,256-58-9696,2023-04-15,3
76,2,533-54-5353,2023-01-10,3
16,6,622-96-2319,2023-03-18,4
51,3,897-45-8728,2023-04-30,1
40,3,380-06-0860,2023-02-10,5
71,3,140-01-5338,2023-01-17,1
48,5,597-27-0712,2023-04-01,3
75,6,681-44-4337,2023-05-06,4
69,1,882-22-0017,2023-02-17,4
14,2,852-35-6209,2023-01-12,1
92,3,689-50-4385,2023-01-14,2
65,6,414-70-3334,2023-04-13,5
